,actual,predicted
55,14.2,14.714106624526654
97,15.8,15.833260176896026
38,20.1,18.861413412676036
255,22.5,19.27096884080549
259,25.1,21.566211688806828
228,8.9,9.51497631060128
121,10.5,10.644299631276194
106,4.0,3.4119931061076834
390,3.1,5.255944250098265
13,22.9,22.58079711660941
497,22.3,21.111091538265157
405,11.9,12.997479236118377
440,13.7,14.655727254511053
86,12.9,12.226194634419123
418,21.3,20.814733078272123
466,10.4,10.155343105147008
83,12.0,10.582120652008197
366,11.7,11.757212950433525
371,14.2,13.50280853935989
373,11.4,10.47220172951005
170,18.8,19.151652862032503
27,23.3,21.924050601362246
17,26.4,25.586331857785293
208,10.4,11.731847442966412
491,16.8,17.865699825608143
151,18.3,17.677798783775536
115,9.0,9.048935842241416
74,11.6,11.541442862754538
15,22.2,22.449294792120764
279,16.8,14.935885558865891
41,7.7,7.948427268698277
268,16.0,16.358328434645273
37,18.3,18.56677785916046
444,12.1,12.090721055651086
307,4.1,3.6125137489804544
406,13.6,12.935421637556782
205,11.7,10.41254245869397
319,27.8,24.053344441879197
269,17.3,17.708024336473496
54,15.2,14.895459079975549
361,19.9,20.159104754201074
11,19.6,21.623488261897325
194,11.9,12.132927114570714
283,8.9,8.422570681107999
330,18.9,17.839813279431638
265,13.7,13.65442701806337
317,22.3,22.321516180294566
29,21.9,21.214651780406182
260,23.9,21.1009215615956
137,10.8,11.128476922125275
136,10.9,11.038484740072509
235,21.5,20.61133988576172
6,23.5,24.355933289558564
47,9.0,10.93566005320805
160,16.8,16.391980716081207
365,12.1,12.106547233223852
46,8.5,9.734679879356108
216,12.9,12.433450618169118
167,14.9,16.840477911159788
314,18.1,21.116815231293202
129,16.3,17.99578875460067
175,21.7,23.283628393868128
424,12.1,9.163283859349285
461,12.0,11.380275275148364
186,3.5,2.6936802854826674
295,10.4,8.7417291723361
61,5.3,4.275486246722485
237,20.6,20.44618417576555
345,13.7,13.0759562158891
350,15.6,15.960015969399016
207,11.5,10.468537567747228
377,11.7,11.51723491744074
318,22.7,23.073194393519657
460,12.0,11.437282207742667
293,8.9,7.910105939009643
243,19.6,23.80059506481686
458,11.6,11.498156560887557
421,22.0,21.40851141667505
455,11.7,11.285353718345421
224,7.6,7.478437964745282
23,20.3,19.15102045889962
333,4.2,3.1165478345405973
193,11.9,11.697663096240296
411,12.3,14.42050534924117
266,13.3,13.534357207931855
335,3.7,3.4229029502654456
376,12.5,11.90846992538276
393,17.3,17.51603366139552
384,4.1,3.9795302770011354
403,11.1,11.947299765789431
