,actual,predicted
231,8.9,13.90256496802515
339,5.4,6.575612964006369
329,19.8,12.679978164438424
418,21.3,15.895795597742177
308,5.0,5.618565354629633
133,9.5,7.669448049571157
5,24.4,16.714807121943732
433,12.8,16.845510731533164
436,13.2,16.582098525926636
136,10.9,7.539012576261805
278,13.8,16.413127551697823
266,13.3,14.111156129556953
34,15.3,15.78868463075207
276,11.5,16.41269239706142
491,16.8,16.221459731237744
11,19.6,15.907818988416398
380,14.7,11.811446129490074
469,11.2,12.510786839615482
427,12.7,16.749072920513758
243,19.6,17.310941284080787
95,15.4,15.679814328112153
312,16.0,17.357540468313168
191,3.7,5.2650899883841475
279,16.8,16.490102452566752
140,14.4,6.931715040711536
334,4.4,8.01226658857282
315,18.5,17.35035394563423
59,16.6,10.470615612385735
214,12.3,12.858812761449041
173,20.4,17.73210370295269
377,11.7,11.819325098209529
87,12.7,13.715038736618466
268,16.0,14.111591284193356
36,16.7,15.789119785388472
274,11.9,16.26422301341557
289,10.3,14.916687756179831
187,3.4,5.742387124984127
340,5.3,6.1023231374570805
33,15.8,15.779716355566027
345,13.7,15.34918836049963
365,12.1,14.512482647723019
9,23.5,16.71146143002859
206,10.3,16.841695594113133
474,11.4,15.428156558166139
48,8.6,4.521821771774963
282,9.5,14.91891808334194
15,22.2,15.9130576105294
186,3.5,5.739689761858951
24,18.9,16.029445664582315
84,12.6,15.971049141222002
291,10.6,15.070016337966
184,3.4,6.007138673714378
13,22.9,15.901391972218184
116,8.7,15.141059028229142
477,10.0,15.1806519627317
442,10.3,13.442184269218524
310,5.0,5.642434143463513
370,14.4,12.45477790109611
55,14.2,13.849199236129714
134,11.7,7.6734847558200565
239,23.2,13.859710535149883
472,8.2,15.611832963757195
75,9.9,11.322577121422007
318,22.7,16.04506796231482
372,10.5,11.81484598257725
153,11.4,17.560985686782292
72,11.0,11.720305402449437
174,21.3,17.73614040920159
166,16.9,17.32600620904712
190,3.7,5.260556711579833
172,19.0,17.73286320943341
26,22.6,16.02988081921872
103,3.6,4.700082170431438
394,17.7,16.27671172242508
319,27.8,16.04062072800921
109,4.8,3.5991300789491607
49,8.0,4.174213789434665
162,13.9,17.324224456540016
371,14.2,12.459311177900423
225,8.2,14.930359835966375
383,4.7,11.2455767267679
369,14.9,13.305108635999243
364,11.9,14.522946370170136
251,29.4,17.47789098653316
330,18.9,12.678808638513354
450,14.9,10.386780840447775
66,6.0,6.969425626486049
465,11.1,14.604771085751247
322,14.8,14.991294228005728
127,14.2,15.42320969893195
144,15.0,13.8375522719315
236,21.5,13.848630673471503
42,7.9,6.2998342592164525
192,9.0,9.57324404596115
41,7.7,6.751525493539388
254,18.9,17.96467219070176
104,4.5,4.704118876680342
263,12.5,14.108614870569127
353,18.0,15.85851194982023
463,9.8,14.877151566543816
