,actual,predicted
55,14.2,14.810127679332323
97,15.8,15.99086072582724
38,20.1,18.65671100147292
255,22.5,19.152634279629172
259,25.1,21.757523011816012
228,8.9,9.567873077502524
121,10.5,10.844055920082226
106,4.0,3.471750953764868
390,3.1,5.436576945949167
13,22.9,22.466265837167672
497,22.3,20.925031554245475
405,11.9,12.827242821239327
440,13.7,14.892517970230752
86,12.9,12.388825082197917
418,21.3,20.643525343302237
466,10.4,10.523893896169396
83,12.0,11.107948588369599
366,11.7,11.982355606262622
371,14.2,13.250407007928338
373,11.4,10.57520616292054
170,18.8,19.40339144236889
27,23.3,22.034242574712056
17,26.4,25.569129140719255
208,10.4,11.887667021465482
491,16.8,18.121783762894115
151,18.3,17.507411406990414
115,9.0,8.96615187879996
74,11.6,11.550222000895022
15,22.2,22.479919608131954
279,16.8,15.159265592056109
41,7.7,8.056548263524855
268,16.0,16.24523425281408
37,18.3,18.602128273671653
444,12.1,12.169784775813756
307,4.1,3.746162051317466
406,13.6,12.745557736317933
205,11.7,10.310969635575017
319,27.8,23.89798042813589
269,17.3,17.540477081993277
54,15.2,14.865484421528937
361,19.9,20.31460066590975
11,19.6,21.805839969596455
194,11.9,12.042811889136678
283,8.9,8.16439741674398
330,18.9,17.960057633596456
265,13.7,13.718453302883711
317,22.3,22.141334908404236
29,21.9,21.385218134577773
260,23.9,21.345790116336023
137,10.8,11.471789077368383
136,10.9,11.451676416487178
235,21.5,20.508101234974927
6,23.5,23.858505174172645
47,9.0,10.474185760364954
160,16.8,16.57295047435758
365,12.1,12.24358527447572
46,8.5,9.336119646805685
216,12.9,12.359165781702565
167,14.9,16.973332400063633
314,18.1,21.22220358137463
129,16.3,18.27263999933376
175,21.7,23.458671530529532
424,12.1,10.08495150731671
461,12.0,11.357104669175351
186,3.5,2.6712212103331154
295,10.4,8.518411238781457
61,5.3,4.0910590593158105
237,20.6,20.498662697091017
345,13.7,13.055554152533372
350,15.6,15.961432181773546
207,11.5,10.453280555836368
377,11.7,11.730499918211773
318,22.7,22.966574549156963
460,12.0,11.668218493799898
293,8.9,7.624029329753167
243,19.6,23.77608672552058
458,11.6,11.526024169434304
421,22.0,21.192106758983115
455,11.7,11.317880231206878
224,7.6,7.399240914796966
23,20.3,19.012415433093715
333,4.2,3.1619984604289506
193,11.9,11.509601187944956
411,12.3,14.561122917444793
266,13.3,13.652092179229067
335,3.7,3.706537315966937
376,12.5,11.911098223451015
393,17.3,17.48720452021135
384,4.1,3.911038717302244
403,11.1,11.809121369739172
