,actual,predicted
231,8.9,9.355178062348612
339,5.4,5.76793440187101
329,19.8,17.43714253371968
418,21.3,19.502594661034802
308,5.0,5.65008161760618
133,9.5,10.549999999999944
5,24.4,22.812499999999925
433,12.8,12.79632014251397
436,13.2,13.089944236866899
136,10.9,10.696812047176408
278,13.8,13.244856474216498
266,13.3,14.586583549598519
34,15.3,16.817989344891068
276,11.5,13.244856474216498
491,16.8,17.097134695416553
11,19.6,23.624922774459787
380,14.7,12.914285714285691
469,11.2,11.421621194017167
427,12.7,15.297547145924163
243,19.6,23.648782136797017
95,15.4,17.059965348466193
312,16.0,20.38414156743623
191,3.7,5.668298925415133
279,16.8,14.847393180941856
140,14.4,14.06148895129554
334,4.4,3.003957466046085
315,18.5,20.38414156743623
59,16.6,14.939193469653324
214,12.3,13.111111111111144
173,20.4,21.544107700539417
377,11.7,12.914285714285691
87,12.7,13.710537099860865
268,16.0,14.586583549598519
36,16.7,16.817989344891068
274,11.9,11.857750344841769
289,10.3,9.714285714285582
187,3.4,3.471373679587991
340,5.3,6.787154644557731
33,15.8,16.817989344891068
345,13.7,12.557011578624827
365,12.1,11.150108069516314
9,23.5,22.812499999999925
206,10.3,10.885644003780175
474,11.4,9.975388052499259
48,8.6,9.852087803862783
282,9.5,9.714285714285582
15,22.2,23.624922774459787
186,3.5,3.471373679587991
24,18.9,20.036674550517922
84,12.6,11.453402790440208
291,10.6,11.101391843660311
184,3.4,3.1777495852350626
13,22.9,23.624922774459787
116,8.7,9.043697234724707
477,10.0,12.432423553125414
442,10.3,11.178283264758402
310,5.0,5.424225039862812
370,14.4,15.47080142178896
55,14.2,14.420762979718058
134,11.7,10.549999999999944
239,23.2,23.026782027323833
472,8.2,9.419918851804018
75,9.9,13.216539519787649
318,22.7,23.533434686125588
372,10.5,12.914285714285691
153,11.4,13.741533287938179
72,11.0,12.776103378258256
174,21.3,21.544107700539417
166,16.9,16.908058669140733
190,3.7,5.668298925415133
172,19.0,21.544107700539417
26,22.6,20.036674550517922
103,3.6,2.8413965690887952
394,17.7,19.16075689413077
319,27.8,23.533434686125588
109,4.8,3.943232188326771
49,8.0,9.010144797031987
162,13.9,16.908058669140733
371,14.2,15.47080142178896
225,8.2,8.249999999999972
383,4.7,3.564734726998534
369,14.9,14.921092560135559
364,11.9,11.150108069516314
251,29.4,27.284482338199492
330,18.9,17.43714253371968
450,14.9,14.43667818310783
66,6.0,5.638483424291067
465,11.1,10.640112847362207
322,14.8,13.602549228963213
127,14.2,17.766056212505713
144,15.0,15.207819387923536
236,21.5,20.778187955296083
42,7.9,7.929354944033168
192,9.0,11.533957070571118
41,7.7,5.437473290345546
254,18.9,20.14874240131946
104,4.5,2.8413965690887952
263,12.5,14.586583549598519
353,18.0,18.062718817013938
463,9.8,10.346488753009279
