,actual,predicted
231,8.9,7.860461859937235
339,5.4,5.319550237277657
329,19.8,17.053498772934073
418,21.3,19.522149669167362
308,5.0,5.9093601057395535
133,9.5,12.38895314989364
5,24.4,22.12643311660623
433,12.8,12.663785225665636
436,13.2,13.357055883419624
136,10.9,12.735588478770634
278,13.8,13.005925742942612
266,13.3,15.117378667986847
34,15.3,16.880501220051034
276,11.5,13.005925742942612
491,16.8,17.08026339102018
11,19.6,23.212538856371395
380,14.7,12.96148948073774
469,11.2,11.673449842342931
427,12.7,15.135109402644044
243,19.6,23.75755080332577
95,15.4,17.011422930299076
312,16.0,20.413791271566623
191,3.7,4.9738530532944925
279,16.8,15.281329411495214
140,14.4,13.17107478641071
334,4.4,3.3980483922811278
315,18.5,20.413791271566623
59,16.6,15.165288389531412
214,12.3,13.127238779123445
173,20.4,21.190085865857377
377,11.7,12.96148948073774
87,12.7,13.779515335453697
268,16.0,15.117378667986847
36,16.7,16.880501220051034
274,11.9,11.783335292792874
289,10.3,9.722338215147996
187,3.4,3.889813578120414
340,5.3,6.241784591649495
33,15.8,16.880501220051034
345,13.7,12.237824749072654
365,12.1,10.709465790257434
9,23.5,22.12643311660623
206,10.3,10.924599357600837
474,11.4,10.874643003937326
48,8.6,9.61754358874739
282,9.5,9.722338215147996
15,22.2,23.212538856371395
186,3.5,3.889813578120414
24,18.9,19.64699365306715
84,12.6,11.430747457318844
291,10.6,10.944928665297734
184,3.4,3.196542920366424
13,22.9,23.212538856371395
116,8.7,9.698774726277744
477,10.0,12.134744181892906
442,10.3,11.210631187329438
310,5.0,5.430917263591422
370,14.4,14.874440277142334
55,14.2,14.740564602995082
134,11.7,12.38895314989364
239,23.2,22.802186044062285
472,8.2,11.008089341177952
75,9.9,13.33868488497852
318,22.7,23.457228433822138
372,10.5,12.96148948073774
153,11.4,13.779693907931344
72,11.0,12.298778898347535
174,21.3,21.190085865857377
166,16.9,17.019990923637287
190,3.7,4.9738530532944925
172,19.0,21.190085865857377
26,22.6,19.64699365306715
103,3.6,2.7611476315561383
394,17.7,19.137015954377578
319,27.8,23.457228433822138
109,4.8,4.229560651233079
49,8.0,9.296709046211708
162,13.9,17.019990923637287
371,14.2,14.874440277142334
225,8.2,8.308520874935018
383,4.7,3.4734633694268986
369,14.9,15.189052954899493
364,11.9,10.709465790257434
251,29.4,27.032095916171535
330,18.9,17.053498772934073
450,14.9,13.755816436306816
66,6.0,5.640842914606189
465,11.1,10.806800564979156
322,14.8,14.576394156739624
127,14.2,18.346225325823248
144,15.0,15.290631422165546
236,21.5,20.75023138136626
42,7.9,7.335513745204798
192,9.0,12.00175751479476
41,7.7,4.266194333483188
254,18.9,20.210860118054605
104,4.5,2.7611476315561383
263,12.5,15.117378667986847
353,18.0,18.137692310581738
463,9.8,10.113529907225168
